part,customer_id,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11
2,59006240,5,1245.5,3,77000.0,2,15,5,109,5,151300,244.94897430000003
2,59006242,4,1277.0,1,113000.0,2,8,-1,100,3,341759,207.17383999999998
2,59006244,7,1298.0,1,110000.0,2,11,-1,101,5,72001,1.0
2,59006246,7,1335.5,1,151000.0,2,11,5,110,3,60084,1.0
2,59006248,7,,2,59000.0,2,11,5,108,4,450081,197.40314080000002
2,59006250,6,1217.0,3,56000.0,2,6,-1,100,3,60091,1.0
2,59006252,4,1304.0,3,35000.0,2,8,9,85,5,60069,1.0
2,59006254,5,1256.0,3,78000.0,2,15,-1,111,3,60030,1.0
2,59006256,5,1323.5,3,218000.0,2,15,5,112,4,151300,282.8427125
2,59006258,4,,2,35000.0,2,8,5,101,3,60029,237.301496
2,59006260,7,1314.5,1,483000.0,2,11,9,101,3,151300,282.8427125
2,59006262,4,1250.0,3,95000.0,2,8,9,111,4,60047,1.0
2,59006264,7,1223.0,3,81000.0,2,11,5,114,4,151300,194.93588689999999
2,59006266,4,,2,76000.0,2,8,9,113,4,60091,158.4077018
2,59006268,7,1365.5,1,96000.0,2,11,-1,78,3,60025,178.8854382
2,59006270,7,1257.5,3,126000.0,2,11,5,105,3,151300,1.0
2,59006272,4,1214.0,3,81000.0,2,8,5,111,1,60043,202.4845673
2,59006274,7,1241.0,3,78000.0,1,11,5,105,5,60074,1.0
2,59006276,7,1241.0,1,111000.0,2,11,5,90,5,350068,223.6067977
2,59006278,4,,2,47000.0,2,8,9,107,5,151300,1.0
2,59006280,7,,2,77000.0,2,11,9,114,5,510000,159.69971819999998
2,59006282,4,1305.5,1,129000.0,2,8,5,81,5,60014,1.0
2,59006284,7,1277.0,1,150000.0,2,11,5,95,5,60015,1.0
2,59006286,4,1304.0,1,35000.0,2,8,5,105,3,340019,181.65902119999998
2,59006288,4,1320.5,3,164000.0,1,8,5,105,5,151300,187.08286930000003
2,59006290,7,1290.5,3,119000.0,2,11,9,85,3,151300,200.0
2,59006292,4,,2,34000.0,2,8,5,100,5,72049,163.29421299999998
2,59006294,5,1455.5,3,35000.0,2,15,5,92,5,60058,1.0
2,59006296,7,1242.5,3,71000.0,1,11,5,108,5,60005,173.20508080000002
2,59006298,7,1239.5,3,79000.0,2,11,8,111,5,71003,1.0
2,59006300,7,1335.5,3,150000.0,2,11,9,105,5,350050,412.3105626
2,59006302,4,1355.0,3,177000.0,2,8,5,87,5,151101,1.0
2,59006304,5,,3,227000.0,2,15,-1,110,4,450080,183.0300522
2,59006306,5,1338.5,3,30000.0,2,15,5,110,4,71000,223.6067977
2,59006308,7,1259.0,3,74000.0,2,11,5,95,5,60036,207.31859540000002
2,59006310,4,1364.0,1,200000.0,2,8,5,90,3,60022,212.1320344
2,59006312,7,,2,90000.0,2,11,2,114,4,151300,173.20508080000002
2,59006314,7,1335.5,3,126000.0,2,11,5,83,5,60051,1.0
2,59006316,7,1272.5,3,50000.0,2,11,5,79,3,60011,1.0
2,59006318,7,1347.5,1,392000.0,2,11,4,114,4,60018,1.0
2,59006320,4,1191.5,3,50000.0,2,8,5,106,5,60090,1.0
2,59006322,5,1298.0,1,127000.0,2,15,-1,113,4,151300,1.0
2,59006324,5,1469.0,3,110000.0,2,15,5,82,5,350066,223.6067977
2,59006326,4,,2,49000.0,2,8,-1,113,4,72001,180.7235458
2,59006328,7,1400.0,1,100000.0,2,11,5,94,5,60028,205.55534530000003
2,59006330,7,1302.5,1,92000.0,2,11,-1,105,4,60075,212.1320344
2,59006332,7,1314.5,1,127000.0,2,11,-1,109,3,340012,500.0
2,59006334,7,1317.5,3,127000.0,2,11,9,88,5,71000,200.0
2,59006336,4,1314.5,3,89000.0,2,8,5,111,4,151009,1.0
2,59006338,4,1280.0,3,96000.0,2,8,9,112,4,60062,1.0
2,59006340,4,1287.5,1,139000.0,2,8,5,100,3,60030,244.94897430000003
2,59006342,5,1241.0,3,60000.0,2,15,5,90,5,60000,200.0
2,59006344,7,1187.0,3,90000.0,2,11,5,100,5,60093,1.0
2,59006346,5,1350.5,1,237000.0,2,15,8,86,3,60085,223.6067977
2,59006348,7,1302.5,1,92000.0,2,11,-1,105,4,591003,167.33200530000002
2,59006350,5,1205.0,3,61000.0,2,15,5,76,5,60069,1.0
2,59006352,1,1130.0,2,1000000.0,2,4,-1,100,5,650018,1.0
2,59006354,4,1352.0,1,168000.0,2,8,5,105,3,60017,223.6067977
2,59006356,7,1223.0,3,73000.0,2,11,9,111,4,350092,200.0
2,59006358,7,1235.0,3,101000.0,2,11,5,112,3,60013,1.0
2,59006360,5,1334.0,3,102000.0,2,15,9,84,5,72000,200.0
2,59006362,4,1214.0,3,68000.0,2,8,9,110,5,60091,1.0
2,59006364,7,1241.0,3,55000.0,2,11,9,113,4,151300,212.1320344
2,59006366,4,1293.5,1,458000.0,2,8,-1,75,5,340017,200.0
2,59006368,4,1382.0,3,76000.0,2,8,5,100,5,60018,173.20508080000002
2,59006370,7,,2,126000.0,2,11,9,115,4,450028,224.26769720000001
2,59006372,4,1323.5,1,103000.0,2,8,-1,85,5,350069,204.0171561
2,59006374,5,1206.5,3,49000.0,2,15,2,102,4,551201,158.11388300000002
